面试的时候，|miànshì de shíhou，|during the interview,
经理|jīnglǐ|the manager
对我|duì wǒ|toward me
印象不错，|yìnxiàng búcuò，|had a good impression,
还|hái|and also
通知我|tōngzhī wǒ|informed me
明天|míngtiān|tomorrow
就|jiù|right away
可以上班了。|kěyǐ shàngbān le。|could start work.
真没想到，|zhēn méi xiǎngdào，|I really did not expect it,
找工作|zhǎo gōngzuò|job hunting
这么|zhème|so
顺利。|shùnlì。|smooth.
你|nǐ|you
想知道|xiǎng zhīdào|want to know
面试|miànshì|interview
需要|xūyào|need to
注意|zhùyì|pay attention to
什么吗？|shénme ma？|what?
首先，|shǒuxiān，|first,
要|yào|you should
穿|chuān|wear
正式的|zhèngshì de|formal
衣服，|yīfu，|clothing,
这会|zhè huì|this will
给|gěi|give
面试者|miànshì zhě|the interviewer
留下|liú xià|leave
一个好的|yī gè hǎo de|a good
印象，|yìnxiàng，|impression,
让他觉得|ràng tā juéde|making them feel
你是|nǐ shì|you are
一个认真的人。|yī gè rènzhēn de rén。|a serious person.
其次，|qícì，|second,
应聘时|yìngpìn shí|when applying
不要|bù yào|do not
紧张。|jǐnzhāng。|be nervous.
回答问题时，|huídá wèntí shí，|when answering questions,
说得|shuō de|speak
不要太快，|bù yào tài kuài，|not too fast,
声音|shēngyīn|your voice
也不要太小，|yě bù yào tài xiǎo，|should not be too quiet,
要|yào|you must
相信自己|xiāngxìn zìjǐ|believe in yourself
有能力|yǒu nénglì|have the ability
做好。|zuò hǎo。|to do well.
当然，|dāngrán，|of course,
最重要的是|zuì zhòngyào de shì|the most important thing is
回答问题|huídá wèntí|answering questions
要诚实。|yào chéngshí。|must be honest.
