年轻人|niánqīng rén|young people
刚|gāng|just/newly
开始|kāishǐ|start/begin
工作|gōngzuò|work
的|de|(attributive particle)
时候|shíhou|time/when
，|，|,
不要|bùyào|don't/should not
太|tài|too/excessively
急着|jí zhe|be in a rush to
赚钱|zhuàn qián|make money
，|，|,
不要|bùyào|don't/should not
眼睛|yǎnjing|eyes
里|lǐ|inside
只有|zhǐyǒu|only have
工资|gōngzī|salary/wages
和|hé|and
奖金。|jiǎngjīn。|bonus.
在|zài|in/during
工作|gōngzuò|work
的|de|(attributive particle)
前几年|qián jǐ nián|the first few years
，|，|,
重要的是|zhòngyào de shì|what's important is
丰富|fēngfù|enrich
自己|zìjǐ|oneself
的|de|(possessive particle)
工作|gōngzuò|work
经验|jīngyàn|experience
，|，|,
学习|xuéxí|learn
与|yǔ|with/and
同事|tóngshì|colleagues
交流|jiāoliú|communicate/interact
的|de|(attributive particle)
方法|fāngfǎ|methods/ways
，|，|,
积累|jīlěi|accumulate
专业|zhuānyè|professional/specialized
知识|zhīshi|knowledge
，|，|,
这些|zhèxiē|these
比|bǐ|than/compared to
收入|shōurù|income
重要|zhòngyào|important
多了。|duō le。|much more.
但是|dànshì|but/however
很多|hěn duō|many
时候|shíhou|times/occasions
，|，|,
我们|wǒmen|we
不得不|bù dé bù|have no choice but to
去|qù|go/do
做|zuò|do
一些|yīxiē|some
自己|zìjǐ|oneself
不愿意|bù yuànyì|unwilling to
做|zuò|do
甚至|shènzhì|even/even to the point of
是|shì|is/are
非常|fēicháng|very/extremely
不喜欢|bù xǐhuān|dislike
的|de|(attributive particle)
工作。|gōngzuò。|work.
这时|zhè shí|at this time/at such moments
，|，|,
我们|wǒmen|we
最|zuì|most
需要|xūyào|need
的|de|(attributive particle)
就是|jiùshì|is exactly/precisely
对|duì|towards/regarding
工作|gōngzuò|work
的|de|(possessive particle)
责任心。|zérènxīn。|sense of responsibility.
一个人|yī gè rén|a person
即使|jíshǐ|even if
能力|nénglì|ability/capability
再|zài|even more/no matter how
高|gāo|high/great
，|，|,
经验|jīngyàn|experience
再|zài|even more/no matter how
丰富|fēngfù|rich/abundant
，|，|,
如果|rúguǒ|if
对|duì|towards/regarding
工作|gōngzuò|work
没有|méiyǒu|not have/lack
责任心|zérènxīn|sense of responsibility
，|，|,
也|yě|also/still
很难|hěn nán|very difficult
把|bǎ|(disposal particle)
工作|gōngzuò|work
做好。|zuò hǎo。|do well.
